tr2010gj,tr2010ge,tr2020gj,tr2020ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G0600370120400,06037120400,G0600370120400,06037120400,1,1,1,1,1,1,1,1
G0600370121010,06037121010,G0600370121010,06037121010,1,1,1,1,1,1,1,1
G0600370121020,06037121020,G0600370121020,06037121020,1,1,1,1,1,1,1,1
G0600370121101,06037121101,G0600370121101,06037121101,1,1,1,1,1,1,1,1
G0600370121102,06037121102,G0600370121102,06037121102,1,1,1,1,1,1,1,1
G0600370121210,06037121210,G0600370121210,06037121210,1,1,1,1,1,1,1,1
G0600370121221,06037121221,G0600370121221,06037121221,1,1,1,1,1,1,1,1
G0600370121222,06037121222,G0600370121222,06037121222,1,1,1,1,1,1,1,1
G0600370121600,06037121600,G0600370121600,06037121600,1,1,1,1,1,1,1,1
G0600370121801,06037121801,G0600370121801,06037121801,1,1,1,1,1,1,1,1
G0600370121802,06037121802,G0600370121802,06037121802,1,1,1,1,1,1,1,1
G0600370121900,06037121900,G0600370121900,06037121900,1,1,1,1,1,1,1,1
G0600370122000,06037122000,G0600370122000,06037122000,1,1,1,1,1,1,1,1
G0600370122120,06037122120,G0600370122120,06037122120,1,1,1,1,1,1,1,1
G0600370122121,06037122121,G0600370122121,06037122121,1,1,1,1,1,1,1,1
G0600370122122,06037122122,G0600370122122,06037122122,1,1,1,1,1,1,1,1
G0600370122200,06037122200,G0600370122200,06037122200,1,1,1,1,1,1,1,1
G0600370122410,06037122410,G0600370122410,06037122410,1,1,1,1,1,1,1,1
G0600370122420,06037122420,G0600370122420,06037122420,1,1,1,1,1,1,1,1
G0600370123010,06037123010,G0600370123010,06037123010,1,1,1,1,1,1,1,1
G0600370123020,06037123020,G0600370123020,06037123020,1,1,1,1,1,1,1,1
G0600370123103,06037123103,G0600370123103,06037123103,0.9998324293,1,1,1,1,1,1,1
G0600370123103,06037123103,G0600370980001,06037980001,0.0001675707,0,0,0,0,0,0,0
G0600370123104,06037123104,G0600370123104,06037123104,1,1,1,1,1,1,1,1
G0600370123203,06037123203,G0600370123203,06037123203,1,1,1,1,1,1,1,1
G0600370123204,06037123204,G0600370123204,06037123204,1,1,1,1,1,1,1,1
G0600370123205,06037123205,G0600370123205,06037123205,1,1,1,1,1,1,1,1
G0600370123206,06037123206,G0600370123206,06037123206,1,1,1,1,1,1,1,1
G0600370123301,06037123301,G0600370123301,06037123301,1,1,1,1,1,1,1,1
G0600370123303,06037123303,G0600370123303,06037123303,1,1,1,1,1,1,1,1
G0600370123304,06037123304,G0600370123304,06037123304,1,1,1,1,1,1,1,1
G0600370123410,06037123410,G0600370123410,06037123410,1,1,1,1,1,1,1,1
G0600370123420,06037123420,G0600370123420,06037123420,1,1,1,1,1,1,1,1
G0600370123510,06037123510,G0600370123510,06037123510,1,1,1,1,1,1,1,1
G0600370123520,06037123520,G0600370123520,06037123520,1,1,1,1,1,1,1,1
G0600370123601,06037123601,G0600370123601,06037123601,1,1,1,1,1,1,1,1
G0600370123602,06037123602,G0600370123602,06037123602,1,1,1,1,1,1,1,1
G0600370123700,06037123700,G0600370123700,06037123700,1,1,1,1,1,1,1,1
G0600370123800,06037123800,G0600370123800,06037123800,1,1,1,1,1,1,1,1
G0600370123901,06037123901,G0600370123901,06037123901,1,1,1,1,1,1,1,1
G0600370123902,06037123902,G0600370123902,06037123902,1,1,1,1,1,1,1,1
G0600370124000,06037124000,G0600370124000,06037124000,1,1,1,1,1,1,1,1
G0600370124102,06037124102,G0600370124102,06037124102,1,1,1,1,1,1,1,1
G0600370124103,06037124103,G0600370124103,06037124103,1,1,1,1,1,1,1,1
G0600370124104,06037124104,G0600370124104,06037124104,1,1,1,1,1,1,1,1
G0600370124105,06037124105,G0600370124105,06037124105,1,1,1,1,1,1,1,1
G0600370124201,06037124201,G0600370124201,06037124201,1,1,1,1,1,1,1,1
G0600370124203,06037124203,G0600370124203,06037124203,1,1,1,1,1,1,1,1
G0600370124204,06037124204,G0600370124204,06037124204,1,1,1,1,1,1,1,1
G0600370124300,06037124300,G0600370124300,06037124300,1,1,1,1,1,1,1,1
G0600370124400,06037124400,G0600370124400,06037124400,1,1,1,1,1,1,1,1
G0600370124500,06037124500,G0600370124500,06037124500,1,1,1,1,1,1,1,1
G0600370124600,06037124600,G0600370124600,06037124600,1,1,1,1,1,1,1,1
G0600370124700,06037124700,G0600370124700,06037124700,1,1,1,1,1,1,1,1
G0600370124902,06037124902,G0600370124902,06037124902,1,1,1,1,1,1,1,1
G0600370124903,06037124903,G0600370124903,06037124903,1,1,1,1,1,1,1,1
G0600370125100,06037125100,G0600370125101,06037125101,0.5003422709,0.623826183,0.6381909548,0.5989804588,0.6482784154,0.6560080781,0.472972973,0.7144314125
G0600370125100,06037125100,G0600370125102,06037125102,0.4996577291,0.376173817,0.3618090452,0.4010195412,0.3517215846,0.3439919219,0.527027027,0.2855685875
G0600370125200,06037125200,G0600370125200,06037125200,1,1,1,1,1,1,1,1
G0600370125310,06037125310,G0600370125310,06037125310,1,1,1,1,1,1,1,1
G0600370125320,06037125320,G0600370125321,06037125321,0.4099224801,0.6175924014,0.58218842,0.6893095768,0.5220367993,0.4921903378,0.965034965,0.4931631723
G0600370125320,06037125320,G0600370125322,06037125322,0.5900775199,0.3824075986,0.41781158,0.3106904232,0.4779632007,0.5078096622,0.034965035,0.5068368277
G0600370125401,06037125401,G0600370125403,06037125403,0.4231739998,0.5181411531,0.5193841078,0.5515463918,0.5508788159,0.5548414739,0.8333333333,0.5377541142
G0600370125401,06037125401,G0600370125404,06037125404,0.5768260002,0.4818588469,0.4806158922,0.4484536082,0.4491211841,0.4451585261,0.1666666667,0.4622458858
G0600370125402,06037125402,G0600370125402,06037125402,0.9983756791,1,1,1,1,1,1,1
G0600370125402,06037125402,G0600370143301,06037143301,0.0016243209,0,0,0,0,0,0,0
G0600370125501,06037125501,G0600370125501,06037125501,1,1,1,1,1,1,1,1
G0600370125502,06037125502,G0600370125502,06037125502,1,1,1,1,1,1,1,1
G0600370125600,06037125600,G0600370125600,06037125600,1,1,1,1,1,1,1,1
G0600370127102,06037127102,G0600370127102,06037127102,1,1,1,1,1,1,1,1
G0600370127103,06037127103,G0600370127103,06037127103,1,1,1,1,1,1,1,1
G0600370127104,06037127104,G0600370127104,06037127104,1,1,1,1,1,1,1,1
G0600370127210,06037127210,G0600370127210,06037127210,1,1,1,1,1,1,1,1
G0600370127220,06037127220,G0600370127220,06037127220,1,1,1,1,1,1,1,1
G0600370127300,06037127300,G0600370127300,06037127300,1,1,1,1,1,1,1,1
G0600370127400,06037127400,G0600370127400,06037127400,1,1,1,1,1,1,1,1
G0600370127520,06037127520,G0600370127520,06037127520,1,1,1,1,1,1,1,1
G0600370127603,06037127603,G0600370127603,06037127603,1,1,1,1,1,1,1,1
G0600370127604,06037127604,G0600370127604,06037127604,1,1,1,1,1,1,1,1
G0600370127605,06037127605,G0600370127605,06037127605,1,1,1,1,1,1,1,1
G0600370127606,06037127606,G0600370127606,06037127606,1,1,1,1,1,1,1,1
G0600370127711,06037127711,G0600370127711,06037127711,1,1,1,1,1,1,1,1
G0600370127712,06037127712,G0600370127712,06037127712,1,1,1,1,1,1,1,1
G0600370127803,06037127803,G0600370127803,06037127803,1,1,1,1,1,1,1,1
G0600370127804,06037127804,G0600370127804,06037127804,1,1,1,1,1,1,1,1
G0600370127805,06037127805,G0600370127805,06037127805,1,1,1,1,1,1,1,1
G0600370127806,06037127806,G0600370127806,06037127806,1,1,1,1,1,1,1,1
G0600370127910,06037127910,G0600370127910,06037127910,1,1,1,1,1,1,1,1
G0600370127920,06037127920,G0600370127920,06037127920,1,1,1,1,1,1,1,1
G0600370128101,06037128101,G0600370128101,06037128101,1,1,1,1,1,1,1,1
G0600370128102,06037128102,G0600370128102,06037128102,1,1,1,1,1,1,1,1
G0600370128210,06037128210,G0600370128210,06037128210,1,1,1,1,1,1,1,1
G0600370128220,06037128220,G0600370128220,06037128220,1,1,1,1,1,1,1,1
G0600370128302,06037128302,G0600370128302,06037128302,1,1,1,1,1,1,1,1
G0600370128303,06037128303,G0600370128303,06037128303,1,1,1,1,1,1,1,1
G0600370128400,06037128400,G0600370128400,06037128400,1,1,1,1,1,1,1,1
G0600370128500,06037128500,G0600370128500,06037128500,1,1,1,1,1,1,1,1
G0600370128601,06037128601,G0600370128601,06037128601,1,1,1,1,1,1,1,1
G0600370128602,06037128602,G0600370128602,06037128602,1,1,1,1,1,1,1,1
G0600370128702,06037128702,G0600370128703,06037128703,0.4928082567,0.543536088,0.5676126878,0.4929797192,0.5900184843,0.5945850914,0.3647984267,0.7257109005
G0600370128702,06037128702,G0600370128704,06037128704,0.5071917433,0.456463912,0.4323873122,0.5070202808,0.4099815157,0.4054149086,0.6352015733,0.2742890995
G0600370128801,06037128801,G0600370128801,06037128801,1,1,1,1,1,1,1,1
G0600370128802,06037128802,G0600370128802,06037128802,1,1,1,1,1,1,1,1
G0600370128910,06037128910,G0600370128910,06037128910,1,1,1,1,1,1,1,1
G0600370131010,06037131010,G0600370131021,06037131021,0.5281806834,0.4545170853,0.4612616427,0.4630021142,0.4649033571,0.466507177,0.4392523364,0.4744933613
G0600370131010,06037131010,G0600370131022,06037131022,0.4718193166,0.5454829147,0.5387383573,0.5369978858,0.5350966429,0.533492823,0.5607476636,0.5255066387
G0600370131020,06037131020,G0600370131023,06037131023,0.408721436,0.4415584416,0.4379194631,0.4574557709,0.451992162,0.4606323621,0.4299401198,0.4784482759
G0600370131020,06037131020,G0600370131024,06037131024,0.591278564,0.5584415584,0.5620805369,0.5425442291,0.548007838,0.5393676379,0.5700598802,0.5215517241
G0600370131100,06037131100,G0600370131100,06037131100,1,1,1,1,1,1,1,1
G0600370131200,06037131200,G0600370131200,06037131200,1,1,1,1,1,1,1,1
G0600370131300,06037131300,G0600370131300,06037131300,1,1,1,1,1,1,1,1
G0600370131400,06037131400,G0600370131400,06037131400,1,1,1,1,1,1,1,1
G0600370131600,06037131600,G0600370131600,06037131600,1,1,1,1,1,1,1,1
G0600370131701,06037131701,G0600370131701,06037131701,1,1,1,1,1,1,1,1
G0600370131702,06037131702,G0600370131702,06037131702,1,1,1,1,1,1,1,1
G0600370131800,06037131800,G0600370131801,06037131801,0.4988814913,0.5205017787,0.5146761134,0.5122377622,0.5412303665,0.554473524,0.3572413793,0.7073474471
G0600370131800,06037131800,G0600370131802,06037131802,0.5011185087,0.4794982213,0.4853238866,0.4877622378,0.4587696335,0.445526476,0.6427586207,0.2926525529
G0600370131900,06037131900,G0600370131900,06037131900,1,1,1,1,1,1,1,1
G0600370132001,06037132001,G0600370132001,06037132001,1,1,1,1,1,1,1,1
G0600370132002,06037132002,G0600370132002,06037132002,1,1,1,1,1,1,1,1
G0600370132101,06037132101,G0600370132101,06037132101,1,1,1,1,1,1,1,1
G0600370132102,06037132102,G0600370132102,06037132102,1,1,1,1,1,1,1,1
G0600370132300,06037132300,G0600370132301,06037132301,0.493508139,0.5292577764,0.5524348353,0.5251396648,0.6330556773,0.6352646936,0.3710344828,0.7551413882
G0600370132300,06037132300,G0600370132302,06037132302,0.506491861,0.4707422236,0.4475651647,0.4748603352,0.3669443227,0.3647353064,0.6289655172,0.2448586118
G0600370132501,06037132501,G0600370132501,06037132501,1,1,1,1,1,1,1,1
G0600370132502,06037132502,G0600370132502,06037132502,1,1,1,1,1,1,1,1
G0600370132700,06037132700,G0600370132700,06037132700,1,1,1,1,1,1,1,1
G0600370132900,06037132900,G0600370132900,06037132900,1,1,1,1,1,1,1,1
G0600370133000,06037133000,G0600370133000,06037133000,1,1,1,1,1,1,1,1
G0600370133100,06037133100,G0600370133101,06037133101,0.4366888305,0.3896437752,0.3719178082,0.4400330852,0.3553719008,0.3388468809,0.5168800931,0.2265552461
G0600370133100,06037133100,G0600370133102,06037133102,0.5633111695,0.6103562248,0.6280821918,0.5599669148,0.6446280992,0.6611531191,0.4831199069,0.7734447539
G0600370134001,06037134001,G0600370134001,06037134001,1,1,1,1,1,1,1,1
G0600370134002,06037134002,G0600370134002,06037134002,1,1,1,1,1,1,1,1
G0600370134101,06037134101,G0600370134101,06037134101,1,1,1,1,1,1,1,1
G0600370134103,06037134103,G0600370134103,06037134103,1,1,1,1,1,1,1,1
G0600370134104,06037134104,G0600370134104,06037134104,1,1,1,1,1,1,1,1
G0600370134201,06037134201,G0600370134201,06037134201,1,1,1,1,1,1,1,1
G0600370134302,06037134302,G0600370134302,06037134302,1,1,1,1,1,1,1,1
G0600370134303,06037134303,G0600370134303,06037134303,1,1,1,1,1,1,1,1
G0600370134304,06037134304,G0600370134304,06037134304,1,1,1,1,1,1,1,1
G0600370134305,06037134305,G0600370134305,06037134305,1,1,1,1,1,1,1,1
G0600370134306,06037134306,G0600370134306,06037134306,1,1,1,1,1,1,1,1
G0600370134421,06037134421,G0600370134421,06037134421,1,1,1,1,1,1,1,1
G0600370134422,06037134422,G0600370134422,06037134422,1,1,1,1,1,1,1,1
G0600370134423,06037134423,G0600370134423,06037134423,1,1,1,1,1,1,1,1
G0600370134424,06037134424,G0600370134424,06037134424,1,1,1,1,1,1,1,1
G0600370134520,06037134520,G0600370134520,06037134520,1,1,1,1,1,1,1,1
G0600370134521,06037134521,G0600370134521,06037134521,1,1,1,1,1,1,1,1
G0600370134522,06037134522,G0600370134522,06037134522,1,1,1,1,1,1,1,1
G0600370134710,06037134710,G0600370134710,06037134710,1,1,1,1,1,1,1,1
G0600370134720,06037134720,G0600370134720,06037134720,1,1,1,1,1,1,1,1
G0600370134800,06037134800,G0600370134801,06037134801,0.4916524134,0.4871406959,0.4925276153,0.4852507375,0.5081877729,0.5091960063,0.4913544669,0.5608108108
G0600370134800,06037134800,G0600370134802,06037134802,0.5083475866,0.5128593041,0.5074723847,0.5147492625,0.4918122271,0.4908039937,0.5086455331,0.4391891892
G0600370134901,06037134901,G0600370134901,06037134901,1,1,1,1,1,1,1,1
G0600370134903,06037134903,G0600370134906,06037134906,0.3064605562,0.6691176471,0.6489111242,0.6769230769,0.6129385965,0.5696913003,0.6,0.6130099228
G0600370134903,06037134903,G0600370134907,06037134907,0.6935394438,0.3308823529,0.3510888758,0.3230769231,0.3870614035,0.4303086997,0.4,0.3869900772
G0600370134904,06037134904,G0600370134904,06037134904,1,1,1,1,1,1,1,1
G0600370134905,06037134905,G0600370134905,06037134905,1,1,1,1,1,1,1,1
G0600370135102,06037135102,G0600370135102,06037135102,1,1,1,1,1,1,1,1
G0600370135111,06037135111,G0600370135111,06037135111,1,1,1,1,1,1,1,1
G0600370135113,06037135113,G0600370135113,06037135113,1,1,1,1,1,1,1,1
G0600370135114,06037135114,G0600370135115,06037135115,0.2616205921,0.6688413948,0.6613236815,0.6947261663,0.6429143315,0.6548902938,0.8086124402,0.6096153846
G0600370135114,06037135114,G0600370135116,06037135116,0.7383794079,0.3311586052,0.3386763185,0.3052738337,0.3570856685,0.3451097062,0.1913875598,0.3903846154
G0600370135201,06037135201,G0600370135201,06037135201,1,1,1,1,1,1,1,1
G0600370135202,06037135202,G0600370135202,06037135202,1,1,1,1,1,1,1,1
G0600370135203,06037135203,G0600370135204,06037135204,0.4126540846,0.6698795181,0.6617351598,0.6521298174,0.6603927987,0.6625399361,0.6280834915,0.8630952381
G0600370135203,06037135203,G0600370135205,06037135205,0.5873459154,0.3301204819,0.3382648402,0.3478701826,0.3396072013,0.3374600639,0.3719165085,0.1369047619
G0600370137103,06037137103,G0600370137103,06037137103,1,1,1,1,1,1,1,1
G0600370137104,06037137104,G0600370137104,06037137104,1,1,1,1,1,1,1,1
G0600370137201,06037137201,G0600370137202,06037137202,0.4370076506,0.5438330171,0.5622347949,0.5260454879,0.5974382434,0.5998289867,0.4667931689,0.7190812721
G0600370137201,06037137201,G0600370137203,06037137203,0.5629923494,0.4561669829,0.4377652051,0.4739545121,0.4025617566,0.4001710133,0.5332068311,0.2809187279
G0600370137301,06037137301,G0600370137301,06037137301,1,1,1,1,1,1,1,1
G0600370137302,06037137302,G0600370137302,06037137302,1,1,1,1,1,1,1,1
G0600370137401,06037137401,G0600370137401,06037137401,1,1,1,1,1,1,1,1
G0600370137402,06037137402,G0600370137402,06037137402,1,1,1,1,1,1,1,1
G0600370137501,06037137501,G0600370137501,06037137501,1,1,1,1,1,1,1,1
G0600370137502,06037137502,G0600370137502,06037137502,1,1,1,1,1,1,1,1
G0600370137504,06037137504,G0600370137504,06037137504,1,1,1,1,1,1,1,1
G0600370138000,06037138000,G0600370138000,06037138000,1,1,1,1,1,1,1,1
G0600370139001,06037139001,G0600370139001,06037139001,1,1,1,1,1,1,1,1
G0600370139200,06037139200,G0600370139200,06037139200,1,1,1,1,1,1,1,1
G0600370139301,06037139301,G0600370139301,06037139301,1,1,1,1,1,1,1,1
G0600370139302,06037139302,G0600370139302,06037139302,1,1,1,1,1,1,1,1
G0600370139303,06037139303,G0600370139303,06037139303,1,1,1,1,1,1,1,1
G0600370139401,06037139401,G0600370139401,06037139401,1,1,1,1,1,1,1,1
G0600370139402,06037139402,G0600370139402,06037139402,1,1,1,1,1,1,1,1
G0600370139502,06037139502,G0600370139502,06037139502,1,1,1,1,1,1,1,1
G0600370139503,06037139503,G0600370139505,06037139505,0.4811256649,0.4955980245,0.495455662,0.4876385337,0.5090311987,0.5139472679,0.3149171271,0.6237753103
G0600370139503,06037139503,G0600370139506,06037139506,0.5188743351,0.5044019755,0.504544338,0.5123614663,0.4909688013,0.4860527321,0.6850828729,0.3762246897
G0600370139504,06037139504,G0600370139504,06037139504,1,1,1,1,1,1,1,1
G0600370139600,06037139600,G0600370139600,06037139600,1,1,1,1,1,1,1,1
G0600370139701,06037139701,G0600370139701,06037139701,1,1,1,1,1,1,1,1
G0600370139702,06037139702,G0600370139704,06037139704,0.6560684611,0.42128,0.4264064771,0.4206008584,0.4178910977,0.419151617,0.42,0.3771929825
G0600370139702,06037139702,G0600370139705,06037139705,0.3439315389,0.57872,0.5735935229,0.5793991416,0.5821089023,0.580848383,0.58,0.6228070175
G0600370139703,06037139703,G0600370139703,06037139703,1,1,1,1,1,1,1,1
G0600370139801,06037139801,G0600370139801,06037139801,1,1,1,1,1,1,1,1
G0600370139802,06037139802,G0600370139802,06037139802,1,1,1,1,1,1,1,1
G0600370141101,06037141101,G0600370141101,06037141101,1,1,1,1,1,1,1,1
G0600370141102,06037141102,G0600370141102,06037141102,1,1,1,1,1,1,1,1
G0600370141201,06037141201,G0600370141201,06037141201,1,1,1,1,1,1,1,1
G0600370141202,06037141202,G0600370141202,06037141202,1,1,1,1,1,1,1,1
G0600370141302,06037141302,G0600370141305,06037141305,0.5419936156,0.511809593,0.5092359362,0.5245901639,0.4891266828,0.4850649351,0.4601156069,0.501476378
G0600370141302,06037141302,G0600370141306,06037141306,0.4580063844,0.488190407,0.4907640638,0.4754098361,0.5108733172,0.5149350649,0.5398843931,0.498523622
G0600370141303,06037141303,G0600370141303,06037141303,1,1,1,1,1,1,1,1
G0600370141304,06037141304,G0600370141304,06037141304,1,1,1,1,1,1,1,1
G0600370141400,06037141400,G0600370141306,06037141306,0.0075187405,0,0,0,0,0,0,0
G0600370141400,06037141400,G0600370141400,06037141400,0.9924812595,1,1,1,1,1,1,1
G0600370141500,06037141500,G0600370141500,06037141500,0.9830810215,1,1,1,1,1,1,1
G0600370141500,06037141500,G0600370141600,06037141600,0.0169189785,0,0,0,0,0,0,0
G0600370141600,06037141600,G0600370141600,06037141600,1,1,1,1,1,1,1,1
G0600370141700,06037141700,G0600370141700,06037141700,1,1,1,1,1,1,1,1
G0600370143100,06037143100,G0600370143101,06037143101,0.7672755773,0.5145582329,0.5010077743,0.5736342043,0.4844720497,0.4782608696,0.6686046512,0.3560421736
G0600370143100,06037143100,G0600370143102,06037143102,0.2269509101,0.4854417671,0.4989922257,0.4263657957,0.5155279503,0.5217391304,0.3313953488,0.6439578264
G0600370143100,06037143100,G0600370980039,06037980039,0.0057735126,0,0,0,0,0,0,0
G0600370143200,06037143200,G0600370143200,06037143200,1,1,1,1,1,1,1,1
G0600370143300,06037143300,G0600370125402,06037125402,0.0229265817,0,0,0,0,0,0,0
G0600370143300,06037143300,G0600370143301,06037143301,0.3512033863,0.4518821325,0.4632008155,0.4243630573,0.4625804267,0.4683503836,0.3067264574,0.5571273123
G0600370143300,06037143300,G0600370143302,06037143302,0.6251581807,0.5481178675,0.5367991845,0.5756369427,0.5374195733,0.5316496164,0.6932735426,0.4428726877
G0600370143300,06037143300,G0600370143602,06037143602,0.0007118512,0,0,0,0,0,0,0
G0600370143400,06037143400,G0600370143401,06037143401,0.637990073,0.7014113246,0.7002228074,0.7048689139,0.7056218058,0.7129833386,0.7203204661,0.6927016645
G0600370143400,06037143400,G0600370143402,06037143402,0.362009927,0.2985886754,0.2997771926,0.2951310861,0.2943781942,0.2870166614,0.2796795339,0.3072983355
G0600370143500,06037143500,G0600370143500,06037143500,1,1,1,1,1,1,1,1
G0600370143602,06037143602,G0600370143602,06037143602,1,1,1,1,1,1,1,1
G0600370143603,06037143603,G0600370143603,06037143603,1,1,1,1,1,1,1,1
G0600370143604,06037143604,G0600370143605,06037143605,0.5879324451,0.5420393795,0.5348357848,0.5474758514,0.5133921522,0.5204730417,0.5954767251,0.5080766968
G0600370143604,06037143604,G0600370143606,06037143606,0.4120675549,0.4579606205,0.4651642152,0.4525241486,0.4866078478,0.4795269583,0.4045232749,0.4919233032
G0600370143700,06037143700,G0600370143700,06037143700,0.9671385703,1,1,1,1,1,1,1
G0600370143700,06037143700,G0600370980039,06037980039,0.0328614297,0,0,0,0,0,0,0
G0600370143800,06037143800,G0600370143606,06037143606,0.0041405056,0,0,0,0,0,0,0
G0600370143800,06037143800,G0600370143801,06037143801,0.5490757704,0.545100451,0.5275128393,0.567839196,0.5296881674,0.5245313123,0.5800446761,0.4619238477
G0600370143800,06037143800,G0600370143802,06037143802,0.446783724,0.454899549,0.4724871607,0.432160804,0.4703118326,0.4754686877,0.4199553239,0.5380761523
G0600370143901,06037143901,G0600370143901,06037143901,1,1,1,1,1,1,1,1
G0600370143902,06037143902,G0600370143902,06037143902,1,1,1,1,1,1,1,1
G0600370181000,06037181000,G0600370181000,06037181000,0.9997589995,1,1,1,1,1,1,1
G0600370181000,06037181000,G0600370460800,06037460800,0.0002100843,0,0,0,0,0,0,0
G0600370181000,06037181000,G0600370463800,06037463800,0.0000309162,0,0,0,0,0,0,0
G0600370181300,06037181300,G0600370181300,06037181300,1,1,1,1,1,1,1,1
G0600370181400,06037181400,G0600370181400,06037181400,1,1,1,1,1,1,1,1
G0600370181500,06037181500,G0600370181500,06037181500,0.9999314708,0.9999610489,0.9999589943,0.999962219,0.9999532498,0.9999534601,0.9999585667,0.9999399368
G0600370181500,06037181500,G0600370463800,06037463800,0.0000685292,0.0000389511,0.0000410057,0.000037781,0.0000467502,0.0000465399,0.0000414333,0.0000600632
G0600370181600,06037181600,G0600370181600,06037181600,1,1,1,1,1,1,1,1
G0600370183101,06037183101,G0600370183101,06037183101,1,1,1,1,1,1,1,1
G0600370183103,06037183103,G0600370183103,06037183103,1,1,1,1,1,1,1,1
G0600370183104,06037183104,G0600370183104,06037183104,0.9901856708,1,1,1,1,1,1,1
G0600370183104,06037183104,G0600370463800,06037463800,0.0098143292,0,0,0,0,0,0,0
G0600370183220,06037183220,G0600370183220,06037183220,1,1,1,1,1,1,1,1
G0600370183221,06037183221,G0600370183221,06037183221,1,1,1,1,1,1,1,1
G0600370183222,06037183222,G0600370183222,06037183222,1,1,1,1,1,1,1,1
G0600370183300,06037183300,G0600370183300,06037183300,1,1,1,1,1,1,1,1
G0600370183401,06037183401,G0600370183401,06037183401,1,1,1,1,1,1,1,1
G0600370183402,06037183402,G0600370183402,06037183402,1,1,1,1,1,1,1,1
G0600370183510,06037183510,G0600370183510,06037183510,1,1,1,1,1,1,1,1
G0600370183520,06037183520,G0600370183520,06037183520,1,1,1,1,1,1,1,1
G0600370183610,06037183610,G0600370183610,06037183610,1,1,1,1,1,1,1,1
G0600370183620,06037183620,G0600370183620,06037183620,1,1,1,1,1,1,1,1
G0600370183701,06037183701,G0600370183701,06037183701,1,1,1,1,1,1,1,1
G0600370183702,06037183702,G0600370183702,06037183702,0.9990535295,0.9989304813,0.9995507637,0.9984350548,0.9990467112,0.9981900452,1,0.9982394366
G0600370183702,06037183702,G0600370480702,06037480702,0.0009464705,0.0010695187,0.0004492363,0.0015649452,0.0009532888,0.0018099548,0,0.0017605634
G0600370183810,06037183810,G0600370183810,06037183810,1,1,1,1,1,1,1,1
G0600370183820,06037183820,G0600370183820,06037183820,1,1,1,1,1,1,1,1
G0600370185100,06037185100,G0600370185101,06037185101,0.357811443,0.5259729944,0.4951301928,0.5,0.4776785714,0.4798973482,0.3046458492,0.7227615965
G0600370185100,06037185100,G0600370185102,06037185102,0.642188557,0.4740270056,0.5048698072,0.5,0.5223214286,0.5201026518,0.6953541508,0.2772384035
G0600370185202,06037185202,G0600370185202,06037185202,1,1,1,1,1,1,1,1
G0600370185203,06037185203,G0600370185203,06037185203,1,1,1,1,1,1,1,1
G0600370185204,06037185204,G0600370185204,06037185204,1,1,1,1,1,1,1,1
G0600370185310,06037185310,G0600370185310,06037185310,1,1,1,1,1,1,1,1
G0600370185320,06037185320,G0600370185320,06037185320,0.9464444645,1,1,1,1,1,1,1
G0600370185320,06037185320,G0600370199002,06037199002,0.0535555355,0,0,0,0,0,0,0
G0600370186100,06037186100,G0600370186100,06037186100,0.999832257,0.9998471991,0.9998531297,0.9999194061,0.999857293,0.9998481865,0.9997999368,0.9999525391
G0600370186100,06037186100,G0600370302102,06037302102,0.000167743,0.0001528009,0.0001468703,0.0000805939,0.000142707,0.0001518135,0.0002000632,0.0000474609
G0600370186201,06037186201,G0600370186201,06037186201,1,1,1,1,1,1,1,1
G0600370186202,06037186202,G0600370186202,06037186202,1,1,1,1,1,1,1,1
G0600370186203,06037186203,G0600370186203,06037186203,1,1,1,1,1,1,1,1
G0600370186301,06037186301,G0600370186301,06037186301,1,1,1,1,1,1,1,1
G0600370186302,06037186302,G0600370186302,06037186302,1,1,1,1,1,1,1,1
G0600370186401,06037186401,G0600370186401,06037186401,1,1,1,1,1,1,1,1
G0600370186403,06037186403,G0600370186403,06037186403,1,1,1,1,1,1,1,1
G0600370186404,06037186404,G0600370186404,06037186404,1,1,1,1,1,1,1,1
G0600370187101,06037187101,G0600370187101,06037187101,1,1,1,1,1,1,1,1
G0600370187102,06037187102,G0600370187102,06037187102,1,1,1,1,1,1,1,1
G0600370187200,06037187200,G0600370187200,06037187200,1,1,1,1,1,1,1,1
G0600370187300,06037187300,G0600370187300,06037187300,1,1,1,1,1,1,1,1
G0600370188100,06037188100,G0600370188100,06037188100,0.9922291541,1,1,1,1,1,1,1
G0600370188100,06037188100,G0600370301601,06037301601,0.0006408505,0,0,0,0,0,0,0
G0600370188100,06037188100,G0600370301702,06037301702,0.0071299954,0,0,0,0,0,0,0
G0600370188201,06037188201,G0600370188201,06037188201,1,1,1,1,1,1,1,1
G0600370188202,06037188202,G0600370188202,06037188202,1,1,1,1,1,1,1,1
G0600370188300,06037188300,G0600370188300,06037188300,1,1,1,1,1,1,1,1
G0600370189101,06037189101,G0600370189101,06037189101,1,1,1,1,1,1,1,1
G0600370189102,06037189102,G0600370189102,06037189102,1,1,1,1,1,1,1,1
G0600370189201,06037189201,G0600370189201,06037189201,1,1,1,1,1,1,1,1
G0600370189202,06037189202,G0600370189102,06037189102,0.0001526915,0.0000663177,0.0000644938,0.0000775466,0.0000566379,0.0000577287,0.0000982044,0.0000112802
